id,carat,price,cut,cut_nom,clarity,clarity_nom,color,color_nom,diamond_shape,ring_setting,ring_metal,metal_quality,merchant_title,ring_title,ring_description,prod_name_raw,mrch_id,product_url,image_url,image_url2,image_url3,votes
14,1,8499,Very Good,3,SI2,1,H,3,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring,"On that special day, promise to love, honor and cherish her with a dazzling diamond solitaire engagement ring. Beautifully fashioned in 18K white gold, a 1 ct. princess-cut certified Canadian diamond center stone sparkles brightly in the traditional four-prong setting. The diamond boasts a color ranking of H and a clarity of SI2 - an exceptional stone. Certified Canadian diamonds are accompanied with a Certificate of Authenticity guaranteeing its Canadian origin. This style also includes a certificate that includes a photo and description of the diamond, which guarantees quality and can be used for insurance purposes.",1 CT. Certified Canadian Princess-Cut Diamond Solitaire Engagement Ring in 18K White Gold (H/SI2),3,http://www.zales.com/certified-canadian-princess-cut-diamond-solitaire-engagement-ring-18k-white-gold/product.jsp?productId=11791702&ab=MM%3AWedding%3AArctic+Brilliance,http://zales.imageg.net/graphics/product_images/pZALE1-10633313t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-10633313_alternate1_t400.jpg,,58
15,0.5,1599,Very Good,3,I1,1,I,2,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1/2 CT. Certified Diamond Solitaire Engagement Ring,This 14K white gold engagement ring has one 1/2 carat round diamond in a prong setting. It comes with a certificate that includes a photo and a description of the diamond which guarantees quality and can be used for insurance purposes.,1/2 CT. Certified Diamond Solitaire Engagement Ring in 14K White Gold,3,http://www.zales.com/certified-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=3194007&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-4296574_alternate1_t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-4296574_alternate2_t400.jpg,,12
16,0.5,1599,Very Good,3,I1,1,I,2,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1/2 CT. Princess Cut Certified Diamond Solitaire Engagement Ring,This 14K white gold engagement ring has one 1/2 carat princess cut diamond in a 4-prong setting. It comes with a certificate that includes a photo and a description of the diamond which guarantees quality and can be used for insurance purposes.,1/2 CT. Princess Cut Certified Diamond Solitaire Engagement Ring in 14K White Gold,3,http://www.zales.com/princess-cut-certified-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=3210022&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-2299809t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2299809_alternate1_t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2299809_alternate2_t400.jpg,79
17,1,4999,Very Good,3,I1,1,I,2,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1 CT. Princess Cut Certified Diamond Solitaire Engagement Ring,This 14K white gold engagement ring has one 1 carat princess cut diamond in a 4-prong setting. It comes with a certificate that includes a photo and a description of the diamond which guarantees quality and can be used for insurance purposes.,1 CT. Princess Cut Certified Diamond Solitaire Engagement Ring in 14K White Gold,3,http://www.zales.com/princess-cut-certified-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=3210023&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-2221026t400.jpg,,,87
18,1,3599,Very Good,3,I1,1,I,2,MARQUISE,SOLITAIRE,GOLD,GOLD,Zales,1 CT. Certified Marquise Diamond Solitaire Engagement Ring,This 14K gold engagement ring has one 1 ct. marquise diamond solitaire set in an 18K white gold 6-prong setting. It comes with an International Gemological Institute Appraisal that includes a photo and a description of the diamond which guarantees quality and can be used for insurance purposes.,1 CT. Certified Marquise Diamond Solitaire Engagement Ring in 14K Gold,3,http://www.zales.com/certified-marquise-diamond-solitaire-engagement-ring-14k-gold/product.jsp?productId=3210027&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-2221040t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2221040_alternate1_t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2221040_alternate2_t400.jpg,33
19,1,4499,Very Good,3,I1,1,F,5,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1 CT. Certified Colorless Princess Cut Diamond Solitaire Engagement Ring,This 18K white gold solitaire ring has one 1 carat princess cut diamond in a 4-prong setting. It comes with an International Gemological Institute Appraisal that includes a photo and a description of the diamond which guarantees quality and can be used for insurance purposes.,1 CT. Certified Colorless Princess Cut Diamond Solitaire Engagement Ring in 18K White Gold,3,http://www.zales.com/certified-colorless-princess-cut-diamond-solitaire-engagement-ring-18k-white-gold/product.jsp?productId=3210038&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-2221035t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2221035_alternate1_t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2221035_alternate2_t400.jpg,54
20,1.25,4899,Very Good,3,I1,1,H,3,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1-1/4 CT. Princess Cut Certified Diamond Solitaire Engagement Ring,"Classic, simple perfection. The stunning princess-cut 1-1/4 ct. solitaire at the heart of this 14K white gold engagement ring needs no accompaniment. Let it speak for you, showing her just how deeply you love and treasure her. The ring comes with a certificate that includes a photo and a description of the diamonds which guarantees quality and can be used for insurance purposes.",1-1/4 CT. Princess Cut Certified Diamond Solitaire Engagement Ring in 14K White Gold,3,http://www.zales.com/princess-cut-certified-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=3210439&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-2754758t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2754758_alternate1_t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2754758_alternate2_t400.jpg,26
21,1.5,9999,Very Good,3,I1,1,H,3,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1-1/2 CT. Princess Cut Certified Diamond Solitaire Engagement Ring,This 14K white gold solitaire ring features one 1-1/2 carat princess cut diamond center stone in a 4-prong setting. It comes with a certificate that includes a photo and a description of the diamonds which guarantees quality and can be used for insurance purposes.,1-1/2 CT. Princess Cut Certified Diamond Solitaire Engagement Ring in 14K White Gold,3,http://www.zales.com/princess-cut-certified-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=3210447&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-2409974t400.jpg,,,43
22,0.75,2999,Very Good,3,I1,1,I,2,PRINCESS,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,3/4 CT. Princess Cut Certified Diamond Solitaire Engagement Ring,This 14K white gold engagement ring has one 3/4 ct. princess cut diamond solitaire in a 4-prong setting. It comes with a certificate that includes a photo and a description of the diamond which guarantees quality and can be used for insurance purposes.,3/4 CT. Princess Cut Certified Diamond Solitaire Engagement Ring in 14K White Gold,3,http://www.zales.com/princess-cut-certified-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=3210464&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-3159507t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-3159507_alternate1_t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-3159507_alternate2_t400.jpg,32
24,2,11999,Very Good,3,I2,1,I,2,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,2 CT. Certified Diamond Solitaire Engagement Ring,"Classic, simple perfection. The stunning round 2 ct. solitaire at the heart of this 14K white gold engagement ring needs no accompaniment. Let it speak for you, showing her just how deeply you love and treasure her. The ring comes with a certificate that includes a photo and a description of the diamond. The certificate guarantees quality and can be used for insurance purposes.",2 CT. Certified Diamond Solitaire Engagement Ring in 14K White Gold,3,http://www.zales.com/certified-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=3238343&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-2373387t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2373387_alternate1_t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2373387_alternate2_t400.jpg,95
25,1.5,9999,Very Good,3,I1,1,I,2,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1-1/2 CT. Certified Diamond Solitaire Engagement Ring,"Classic, simple perfection. The stunning round 1-1/2 ct. solitaire at the heart of this 14K white gold engagement ring needs no accompaniment. Let it speak for you, showing her just how deeply you love and treasure her. The ring comes with a certificate that includes a photo and a description of the diamond. The certificate guarantees quality and can be used for insurance purposes.",1-1/2 CT. Certified Diamond Solitaire Engagement Ring in 14K White Gold,3,http://www.zales.com/certified-diamond-solitaire-engagement-ring-14k-white-gold/product.jsp?productId=3299321&page=1&kpc=1&ab=MM%3AWedding%3AEngagement,http://zales.imageg.net/graphics/product_images/pZALE1-5255250t400.jpg,,,40
26,1,3599,Very Good,3,I1,1,H,3,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1 CT. T.W. Certified Diamond Solitaire Engagement Ring,This 14K gold solitaire engagement ring has one 1 carat round diamond in a 4-prong setting. It comes with a certificate that includes a photo and a description of the diamond which guarantees quality and can be used for insurance purposes.,1 CT. T.W. Certified Diamond Solitaire Engagement Ring in 14K Gold,3,http://www.zales.com/certified-diamond-solitaire-engagement-ring-14k-gold/product.jsp?productId=3210028,http://zales.imageg.net/graphics/product_images/pZALE1-2221024t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2221024_alternate1_t400.jpg,http://zales.imageg.net/graphics/product_images/pZALE1-2221024_alternate2_t400.jpg,72
27,1.25,4899,Very Good,3,I1,1,K,1,ROUND,SOLITAIRE,WHITE GOLD,WHITE GOLD,Zales,1-1/4 CT. Certified Diamond Solitaire Engagement Ring,"This 1-1/4 ct. diamond engagement ring in 14K gold features a round diamond in a prong platinum setting. It comes with a certificate that includes a photo and a description of the diamond, which guarantees quality and can be used for insurance purposes.",1-1/4 CT. Certified Diamond Solitaire Engagement Ring in 14K Gold,3,http://www.zales.com/certified-diamond-solitaire-engagement-ring-14k-gold/product.jsp?productId=11791784,http://zales.imageg.net/graphics/product_images/pZALE1-5828980t400.jpg,,,85
28,0.5,9200,Ideal Cut,5,VVS1,6,D,7,ROUND,SOLITAIRE,PLATINUM,PLATINUM,Cartier,SOLITAIRE 1895,"This solitaire has been a Cartier classic since 1895. The elegance of the lines is unique, the refined and open setting allows the light of the diamond to flow freely.","SOLITAIRE 1895Platinum, diamonds",4,http://www.cartier.us/navigation/bridal_exclusiveservice_esfy_module/solitaire-1895-platinum/4900-12217/0.5-0.51/D/VVS1,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_1.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_0.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_2.png,55
29,0.51,4900,Ideal Cut,5,VS2,3,H,3,ROUND,SOLITAIRE,PLATINUM,PLATINUM,Cartier,SOLITAIRE 1895,"This solitaire has been a Cartier classic since 1895. The elegance of the lines is unique, the refined and open setting allows the light of the diamond to flow freely.","SOLITAIRE 1895Platinum, diamonds",4,http://www.cartier.us/navigation/bridal_exclusiveservice_esfy_module/solitaire-1895-platinum/4900-5900/0.5-0.51/H/VS2,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_1.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_0.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_2.png,26
30,0.56,5200,Ideal Cut,5,VS2,3,H,3,ROUND,SOLITAIRE,PLATINUM,PLATINUM,Cartier,SOLITAIRE 1895,"This solitaire has been a Cartier classic since 1895. The elegance of the lines is unique, the refined and open setting allows the light of the diamond to flow freely.","SOLITAIRE 1895Platinum, diamonds",4,http://www.cartier.us/navigation/bridal_exclusiveservice_esfy_module/solitaire-1895-platinum/4900-5900/0.55-0.56/H/VS2,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_1.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_0.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_2.png,79
31,0.51,5350,Ideal Cut,5,VS2,3,G,4,ROUND,SOLITAIRE,PLATINUM,PLATINUM,Cartier,SOLITAIRE 1895,"This solitaire has been a Cartier classic since 1895. The elegance of the lines is unique, the refined and open setting allows the light of the diamond to flow freely.","SOLITAIRE 1895Platinum, diamonds",4,http://www.cartier.us/navigation/bridal_exclusiveservice_esfy_module/solitaire-1895-platinum/4900-5900/0.5-0.51/G/VS2,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_1.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_0.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_2.png,47
32,0.55,5900,Ideal Cut,5,VVS2,5,H,3,ROUND,SOLITAIRE,PLATINUM,PLATINUM,Cartier,SOLITAIRE 1895,"This solitaire has been a Cartier classic since 1895. The elegance of the lines is unique, the refined and open setting allows the light of the diamond to flow freely.","SOLITAIRE 1895Platinum, diamonds",4,http://www.cartier.us/navigation/bridal_exclusiveservice_esfy_module/solitaire-1895-platinum/4900-5900/0.55-0.56/H/VVS2,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_1.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_0.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_2.png,19
33,0.53,11700,Ideal Cut,5,IF,7,D,7,ROUND,SOLITAIRE,PLATINUM,PLATINUM,Cartier,SOLITAIRE 1895,"This solitaire has been a Cartier classic since 1895. The elegance of the lines is unique, the refined and open setting allows the light of the diamond to flow freely.","SOLITAIRE 1895Platinum, diamonds",4,http://www.cartier.us/navigation/bridal_exclusiveservice_esfy_module/solitaire-1895-platinum/11700-11700/0.5-1.06/D/IF,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_1.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_0.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_2.png,26
34,0.66,15100,Ideal Cut,5,IF,7,D,7,ROUND,SOLITAIRE,PLATINUM,PLATINUM,Cartier,SOLITAIRE 1895,"This solitaire has been a Cartier classic since 1895. The elegance of the lines is unique, the refined and open setting allows the light of the diamond to flow freely.","SOLITAIRE 1895Platinum, diamonds",4,http://www.cartier.us/navigation/bridal_exclusiveservice_esfy_module/solitaire-1895-platinum/15100-15100/0.5-1.06/D/IF,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_1.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_0.png,http://www.cartier.us/sites/all/modules/cartier/cartier_common/cartier_navigation_esfy/theme/images/thumbnails/350x350/N4139400_2.png,52
